client_id,total_spending,avg_transaction,transaction_count,Chip Transaction,Online Transaction,Swipe Transaction,past_3_months_sum,past_6_months_sum,past_9_months_sum,past_3_months_avg,past_6_months_avg,past_9_months_avg,past_3_months_max,past_3_months_min,past_6_months_max,past_6_months_min,past_9_months_max,past_9_months_min,rate_of_change_3m,rate_of_change_6m,rate_of_change_9m,spending_volatility_3m,spending_volatility_6m,spending_volatility_9m,num_unique_merchants,category_diversity,top_5_merchant_categories,avg_time_between_transactions_seconds,spending_consistency_3m,spending_consistency_6m,spending_consistency_9m,chip_transaction_ratio,online_transaction_ratio,swipe_transaction_ratio,absolute_change_3m_vs_6m,absolute_change_6m_vs_9m,growth_rate_3m_vs_6m,growth_rate_6m_vs_9m,proportion_recent_3m_vs_6m,proportion_recent_6m_vs_9m,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,debt_to_income_ratio
20,24776.2,25.230346232179226,982,852,30,100,7542.17,12821.05,21776.82,2514.056666666667,2136.8416666666667,2419.6466666666665,3327.6,1932.1000000000001,3327.6,1429.98,3327.6,1429.98,2.304389542907465,4.6171822630746515,8.540900866166917,726.0023075950468,650.4520340014831,671.1074078156192,102,45,"['Automotive Service Shops', 'Wholesale Clubs', 'Insurance Sales, Underwriting', 'Money Transfer', 'Service Stations']",26738.837920489295,0.30441189528660567,0.5174744311072722,0.8789410805531114,0.8676171079429735,0.03054989816700611,0.10183299389002037,2263.290000000001,3865.279999999999,0.4287443548631531,0.43159661313320896,0.5882646117127692,0.5887475765515809,86,67,1933,12,Female,3631 Plum Boulevard,32.42,-97.1,19477.0,23371.0,0.0,757,8,0.0
21,28243.1,39.390655509065546,717,558,56,103,10281.77,19094.25,26603.46,3427.2566666666667,3182.375,2955.94,6065.04,1651.7,6065.04,1651.7,6065.04,1651.7,5.224962160198583,10.560362051219954,15.106714294363382,2329.585501206885,1745.7500014807388,1472.5676640226081,80,50,"['Money Transfer', 'Utilities - Electric, Gas, Water, Sanitary', 'Grocery Stores, Supermarkets', 'Automotive Service Shops', 'Doctors, Physicians']",36513.60335195531,0.36404537745502447,0.6760677829275116,0.9419454663262886,0.7782426778242678,0.07810320781032078,0.14365411436541142,1469.2900000000009,11585.04,0.16672832165292872,1.5427774692677394,0.5384746716943583,0.7177355877769283,48,66,1972,2,Male,819 Park Boulevard,39.47,-87.38,21131.0,43084.0,0.0,850,3,0.0
22,34875.93,35.01599397590361,996,556,315,125,10399.43,21164.800000000003,30829.22,3466.476666666667,3527.466666666667,3425.468888888889,4140.53,2645.69,4140.53,2645.69,4189.48,2645.69,2.9307061673892254,6.9997278592730074,10.652619921457163,758.1455399415953,487.9754051452454,590.0662206575723,94,45,"['Tolls and Bridge Fees', 'Telecommunication Services', 'Service Stations', 'Utilities - Electric, Gas, Water, Sanitary', 'Wholesale Clubs']",26310.45226130653,0.29818358965624714,0.6068598027350096,0.8839683988355292,0.5582329317269076,0.31626506024096385,0.12550200803212852,-365.9400000000023,11500.380000000005,-0.033992329107128016,1.1899710484436734,0.4913549856365285,0.6865175310954997,56,66,1963,3,Male,5651 North Boulevard,38.99,-76.88,26467.0,53966.0,135478.0,747,1,2.510432494533595
24,26790.34,37.003232044198896,724,652,31,41,9129.74,17144.44,23926.54,3043.2466666666664,2857.4066666666663,2658.5044444444447,3663.09,2360.74,3663.09,2245.82,3663.09,2159.09,1.9394734554446202,4.519941015676565,6.7035522600461706,653.4323994364944,529.3429214286965,515.9166095191915,68,33,"['Money Transfer', 'Department Stores', 'Grocery Stores, Supermarkets', 'Wholesale Clubs', 'Drug Stores and Pharmacies']",36271.03734439834,0.34078477540785224,0.6399485784801536,0.8931032603542919,0.9005524861878453,0.04281767955801105,0.05662983425414365,1115.0400000000009,10362.339999999997,0.13912435899035525,1.5278954895976162,0.5325189974125722,0.7165448911543415,48,64,1971,11,Female,55378 Burns Avenue,42.27,-89.06,18906.0,38554.0,47186.0,708,1,1.2238937594023966
27,30258.5,39.29675324675325,770,682,44,44,8686.72,18768.010000000002,26475.04,2895.5733333333333,3128.001666666667,2941.6711111111113,3735.37,1755.42,4434.88,1755.42,4434.88,1755.42,1.3255313395995576,4.024404543592738,6.087661998677508,1023.5775964885779,991.1781008359026,839.9121625867261,124,48,"['Money Transfer', 'Legal Services and Attorneys', 'Utilities - Electric, Gas, Water, Sanitary', 'Drug Stores and Pharmacies', 'Wholesale Clubs']",33957.11313394018,0.28708362939339355,0.6202557958920635,0.8749620767718163,0.8857142857142857,0.05714285714285714,0.05714285714285714,-1394.5700000000033,11060.980000000003,-0.13833249514695078,1.435180607834666,0.46284715321443237,0.7088944908109677,78,63,1941,8,Female,3553 Mountain View Drive,32.28,-90.0,22304.0,23821.0,22427.0,613,8,0.9414802065404475
28,32143.01,62.052142857142854,518,159,77,282,8960.91,18844.579999999998,27494.659999999996,2986.97,3140.763333333333,3054.962222222222,3798.48,2236.37,3798.48,2236.37,3798.48,2236.37,2.062449163721865,5.440257547692118,8.396478541109888,782.8342315586367,548.0734822144443,477.608190669344,112,43,"['Antique Shops', 'Betting (including Lottery Tickets, Casinos)', 'Athletic Fields, Commercial Sports', 'Amusement Parks, Carnivals, Circuses', 'Tolls and Bridge Fees']",50665.996131528045,0.2787825409008055,0.5862730341682375,0.8553853543896479,0.30694980694980695,0.14864864864864866,0.5444015444015444,-922.7599999999984,10194.5,-0.09336208108931177,1.1785440134657716,0.47551656762846406,0.6853905449276333,39,65,1980,4,Female,871 12th Lane,38.63,-77.26,26618.0,54273.0,110237.0,789,4,2.031157297367015
32,24235.73,36.28103293413174,668,233,293,142,7640.75,16048.48,22530.86,2546.9166666666665,2674.7466666666664,2503.428888888889,2761.54,2286.5,3000.86,2286.5,3000.86,1977.99,1.766843862482528,4.8114240604879885,7.158802697045851,240.80806139606855,281.07559792103336,349.0605683274909,53,38,"['Tolls and Bridge Fees', 'Utilities - Electric, Gas, Water, Sanitary', 'Money Transfer', 'Telecommunication Services', 'Optometrists, Optical Goods and Eyeglasses']",39253.493253373315,0.3152679948159185,0.6621826534624705,0.9296546875212754,0.34880239520958084,0.43862275449101795,0.2125748502994012,-766.9799999999996,9566.099999999999,-0.09122319579720084,1.4757079961372206,0.4761042790345254,0.7122888340702485,82,67,1937,9,Female,7336 First Avenue,40.31,-79.54,23074.0,52315.0,3174.0,695,4,0.0606709356781038
33,43983.73,48.280713501646545,911,813,68,30,13097.54,26968.89,38966.030000000006,4365.846666666667,4494.815,4329.55888888889,4440.4,4228.3,5098.33,4148.6,5098.33,3819.3399999999997,1.9496306639041532,5.073527159715341,7.775342311503469,119.25905639964485,340.36350437436727,391.62838276370013,87,43,"['Wholesale Clubs', 'Grocery Stores, Supermarkets', 'Drug Stores and Pharmacies', 'Department Stores', 'Service Stations']",28808.571428571428,0.29778147510454434,0.6131560465654003,0.8859191796602972,0.8924259055982436,0.07464324917672886,0.03293084522502744,-773.8099999999977,14971.749999999993,-0.05578476500124341,1.2479432598102536,0.48565365500767743,0.6921128480371235,77,71,1942,6,Female,6335 Rose Lane,39.21,-119.71,18239.0,38692.0,8902.0,596,5,0.230073400186085
34,55417.09,46.52988245172124,1191,1128,56,7,13966.21,27694.04,49939.03,4655.403333333333,4615.673333333333,5548.781111111111,4832.26,4530.94,4989.3,3825.9,7833.32,3825.9,2.034147221057525,5.0165065902529,9.84921171146706,157.34430918638458,425.6223556002047,1482.156264783208,92,46,"['Money Transfer', 'Eating Places and Restaurants', 'Fast Food Restaurants', 'Grocery Stores, Supermarkets', 'Drug Stores and Pharmacies']",22019.798319327732,0.2520199093817449,0.49973825763857327,0.9011485446096141,0.947103274559194,0.047019311502938706,0.005877413937867338,238.37999999999738,5449.050000000003,0.017364725524718683,0.24495628004328185,0.5043038141058509,0.5545570268385269,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,25431.0,51854.0,72162.0,737,2,1.3916380607089134
37,34965.95,27.042498066511985,1293,1197,33,63,9325.759999999998,22059.98,31795.32,3108.586666666666,3676.6633333333334,3532.8133333333335,3572.63,2375.04,6065.09,2375.04,6065.09,2375.04,2.926569657774184,8.288256197790352,12.387277687954729,642.6737018373569,1256.3675210330243,1035.1614915557864,90,48,"['Miscellaneous Food Stores', 'Service Stations', 'Legal Services and Attorneys', 'Utilities - Electric, Gas, Water, Sanitary', 'Wholesale Clubs']",20263.46749226006,0.26670975620568005,0.6308989173753323,0.9093223550339689,0.925754060324826,0.025522041763341066,0.048723897911832945,-3408.4600000000028,12324.64,-0.26766146650521216,1.2659691392391021,0.4227456235227774,0.6938121710993945,41,60,1978,7,Female,533 Sussex Drive,43.31,-76.57,17013.0,34690.0,48954.0,683,4,1.4111847794753531
38,39567.9,36.40101195952162,1087,442,607,38,13942.84,26323.43,35980.31,4647.613333333334,4387.238333333334,3997.812222222222,5304.25,4105.66,5304.25,3921.84,5304.25,2696.22,2.0759001352326196,4.807155636641201,6.937539295775579,607.4690915868359,492.9274064775337,741.2874538729526,95,50,"['Tolls and Bridge Fees', 'Service Stations', 'Drug Stores and Pharmacies', 'Utilities - Electric, Gas, Water, Sanitary', 'Grocery Stores, Supermarkets']",24155.635359116022,0.35237755857652286,0.6652723546106819,0.9093307959229576,0.40662373505059796,0.5584176632934683,0.034958601655933765,1562.25,16666.550000000003,0.12618542411952904,1.7258731598611567,0.5296741344118149,0.7316065370198311,45,64,1974,12,Female,582 Birch Boulevard,26.63,-81.85,19621.0,40006.0,72794.0,621,1,1.819577063440484
39,70864.93,56.82833199679229,1247,847,333,67,21065.46,41438.44,64627.8,7021.82,6906.406666666667,7180.866666666667,7595.17,6608.96,7595.17,6526.2,9546.64,6438.93,2.1874092141577495,5.270039461579432,8.778815426330315,512.3185738385852,440.4770258102751,972.750530853106,81,38,"['Tolls and Bridge Fees', 'Eating Places and Restaurants', 'Wholesale Clubs', 'Grocery Stores, Supermarkets', 'Fast Food Restaurants']",21046.85393258427,0.2972621295187902,0.5847524297279346,0.9119856606081458,0.6792301523656776,0.26704089815557336,0.053728949478749,692.4799999999959,18249.08,0.03399011828411935,0.7869591916292644,0.5083555268972481,0.6411859911678875,54,67,1965,5,Female,984 Eighth Avenue,41.29,-72.36,30281.0,61740.0,126015.0,583,2,2.0410592808551993
40,13479.46,26.48223968565815,509,404,28,77,3725.95,7802.47,12520.199999999999,1241.9833333333333,1300.4116666666666,1391.1333333333332,1404.8,1079.36,1686.11,917.11,1763.45,917.11,2.451999332938038,6.228792988437593,10.599651645419508,162.72008613976837,278.84440503023677,296.64401696309335,53,25,"['Money Transfer', 'Grocery Stores, Supermarkets', 'Drug Stores and Pharmacies', 'Eating Places and Restaurants', 'Utilities - Electric, Gas, Water, Sanitary']",51527.24409448819,0.27641685942908695,0.5788414372682585,0.928835428125459,0.793713163064833,0.0550098231827112,0.1512770137524558,-350.5700000000006,3084.7400000000016,-0.08599737030604548,0.6538610730160486,0.477534678121159,0.6231905241130334,71,74,1948,6,Male,2786 Forest Lane,39.92,-83.79,14342.0,29243.0,30686.0,726,4,1.0493451424272475
42,20921.49,26.382711223203028,793,608,56,129,5891.319999999999,12348.96,18249.949999999997,1963.7733333333329,2058.16,2027.772222222222,2599.62,1254.14,2599.62,1254.14,2599.62,1254.14,3.6974978869982604,8.846556205846236,13.551764555791216,675.7680532056344,445.35665568171294,384.5007225213553,85,37,"['Eating Places and Restaurants', 'Utilities - Electric, Gas, Water, Sanitary', 'Telecommunication Services', 'Fast Food Restaurants', 'Miscellaneous Food Stores']",33052.19696969697,0.281591798672083,0.590252415100454,0.8723064179463316,0.7667087011349306,0.07061790668348046,0.1626733921815889,-566.3200000000015,6447.970000000001,-0.08769767283403862,1.092692921018338,0.4770701338412303,0.6766571963210859,78,66,1941,11,Female,3863 Pine Street,30.84,-83.27,12672.0,8526.0,3723.0,684,3,0.4366643209007741
44,28408.95,42.08733333333333,675,598,26,51,8317.130000000001,17754.34,25253.47,2772.376666666667,2959.056666666667,2805.9411111111112,3018.9900000000002,2419.88,3611.62,2419.88,3611.62,2094.39,1.754937909698277,4.880887316619134,7.364873682920446,313.2756904602283,403.50484570407156,430.68074795736,65,40,"['Money Transfer', 'Local and Suburban Commuter Transportation', 'Service Stations', 'Telecommunication Services', 'Drug Stores and Pharmacies']",38855.163204747776,0.29276442811156345,0.6249558677811042,0.8889265530757032,0.8859259259259259,0.03851851851851852,0.07555555555555556,-1120.079999999998,10255.21,-0.11868762059973215,1.3675199656493482,0.46845616339441515,0.7030455616594472,85,67,1934,12,Male,8651 Seventh Street,43.48,-124.16,16738.0,38194.0,1674.0,680,3,0.04382887364507514
45,8054.97,14.409606440071556,559,359,186,14,1876.8799999999999,4707.02,6876.89,625.6266666666667,784.5033333333334,764.098888888889,740.79,503.82,1487.23,503.82,1487.23,503.82,1.5336195143022988,5.354054455378718,8.283184168252813,118.62459961295298,360.74648370658684,288.77495807481495,63,29,"['Service Stations', 'Miscellaneous Food Stores', 'Department Stores', 'Drinking Places (Alcoholic Beverages)', 'Grocery Stores, Supermarkets']",46624.51612903226,0.23300893733930728,0.5843622012248338,0.8537449549781067,0.6422182468694096,0.33273703041144903,0.025044722719141325,-953.2600000000004,2537.1500000000005,-0.3368243267117529,1.1692635964366533,0.398740604458872,0.6844692877158134,61,67,1959,1,Female,9473 Mill Street,40.86,-74.15,31281.0,63781.0,111808.0,654,1,1.7529985418855145
46,33015.94,45.16544459644323,731,569,43,119,11590.83,20114.42,27923.769999999997,3863.61,3352.403333333333,3102.6411111111106,4380.07,3151.73,4380.07,2432.29,4380.07,2432.29,1.8555664777052643,3.9554745838291407,5.879419467212609,637.0608457596476,726.1104254221024,687.6635639148775,93,47,"['Telecommunication Services', 'Grocery Stores, Supermarkets', 'Automotive Service Shops', 'Service Stations', 'Drug Stores and Pharmacies']",35897.34246575343,0.35106769639150054,0.6092336004972143,0.8457663177241053,0.7783857729138167,0.058823529411764705,0.16279069767441862,3067.2400000000016,12305.07,0.3598530666069113,1.5756842759000431,0.576244803479295,0.7203332501306235,62,66,1957,6,Male,20 Littlewood Boulevard,40.66,-73.84,26481.0,53996.0,98211.0,632,4,1.818856952366842
47,27222.13,28.898227176220807,942,767,58,117,7255.56,16165.68,24238.530000000002,2418.52,2694.28,2693.17,2697.01,2200.38,3307.07,2200.38,3307.07,2200.38,2.297412265154201,6.346767376544051,10.015610939928559,253.7556523508381,399.2555801989499,334.1512156943321,57,32,"['Drug Stores and Pharmacies', 'Grocery Stores, Supermarkets', 'Wholesale Clubs', 'Service Stations', 'Department Stores']",27821.062699256112,0.2665316784542576,0.593843317918179,0.8903979960421907,0.8142250530785563,0.06157112526539278,0.12420382165605096,-1654.5599999999986,8092.829999999998,-0.1856944687613633,1.0024749623738822,0.44882491797437535,0.6669414358048941,47,62,1972,9,Male,523 Federal Drive,40.84,-73.87,12475.0,25434.0,45540.0,712,4,1.7905166312809624
48,22921.74,33.219913043478265,690,529,38,123,7375.97,14523.529999999999,21499.03,2458.6566666666668,2420.588333333333,2388.781111111111,2945.47,2075.73,2945.47,1842.31,2945.47,1842.31,2.55343421350561,5.996830030880702,9.35733452809373,444.0790994106042,414.9106066813267,358.6871303603059,115,49,"['Utilities - Electric, Gas, Water, Sanitary', 'Insurance Sales, Underwriting', 'Telecommunication Services', 'Doctors, Physicians', 'Service Stations']",37974.68795355588,0.32178927079706865,0.6336137657961393,0.9379318498508402,0.7666666666666667,0.05507246376811594,0.1782608695652174,228.41000000000167,7548.029999999999,0.03195635993262069,1.0820772704465629,0.5078634464210836,0.6755435012649408,69,63,1950,4,Male,5233 Valley Stream Street,35.11,-106.62,20993.0,16542.0,36831.0,733,3,2.2265143271672105
50,19833.16,36.592546125461254,542,318,31,193,5858.86,11626.95,17774.440000000002,1952.9533333333331,1937.825,1974.9377777777781,2701.62,1153.09,2701.62,1153.09,2701.62,1153.09,1.9233640196592068,4.801437018187261,7.8688172043010765,775.5334385010959,545.2093990660835,448.5690097905164,97,41,"['Utilities - Electric, Gas, Water, Sanitary', 'Grocery Stores, Supermarkets', 'Telecommunication Services', 'Drug Stores and Pharmacies', 'Drinking Places (Alcoholic Beverages)']",48386.61737523106,0.29540728759310164,0.5862378965328773,0.8961980844202337,0.5867158671586716,0.05719557195571956,0.35608856088560886,90.76999999999862,5479.459999999999,0.015736578312751437,0.891332885454063,0.503903431252392,0.6541387520506975,68,72,1951,7,Female,267 Birch Boulevard,45.82,-88.06,19243.0,39238.0,85457.0,702,4,2.177914266782201
51,38117.35,48.49535623409669,786,630,39,117,10582.33,22627.579999999998,34981.77,3527.443333333333,3771.263333333333,3886.863333333333,4186.91,3033.38,4287.24,3033.38,4717.74,3033.38,1.5274796926611751,4.404362644527826,7.355032709086175,594.2865994058194,538.0236209932298,576.1941319772355,80,47,"['Drug Stores and Pharmacies', 'Grocery Stores, Supermarkets', 'Wholesale Clubs', 'Eating Places and Restaurants', 'Department Stores']",33402.420382165605,0.277625018528308,0.5936294102292,0.9177387725012363,0.8015267175572519,0.04961832061068702,0.14885496183206107,-1462.9199999999983,10273.39,-0.12145202465702232,0.8315713130524949,0.46767396248295223,0.6468391965300784,29,67,1991,2,Female,3260 Hillside Lane,36.29,-86.6,25166.0,51303.0,106248.0,688,3,2.0709900005847612
